MaxMakespan,MinMakespan,MinWorkload,MaxWorkload,MaxWCET,MinWCET,MedianWCET,NumNodes,MaxParallel,CriticalPath,AvgInDegree,AvgOutDegree,CoreNum,IsAnomaly
201646,100823,164798,329600,119730,6338,6338.000000,26,6,6,2,2,7,0
135337,67667,123097,246200,100969,4734,4734.000000,26,7,6,2,2,7,0
176638,88317,143997,288000,147991,5538,5538.000000,26,6,6,2,2,7,0
131494,65745,114490,229000,71287,4403,4403.000000,26,8,6,2,2,7,0
218026,109011,193891,387800,179566,7457,7457.500000,26,6,6,2,2,7,0
271010,135504,291791,583600,157064,11223,11223.500000,26,6,6,2,2,6,0
110980,55489,102790,205600,90632,3953,3953.000000,26,8,6,2,2,7,0
221600,110799,180298,360600,173421,6934,6934.000000,26,7,6,2,2,7,0
272397,136197,268390,536800,220580,10323,10323.000000,26,7,6,2,2,7,0
153270,76633,180495,361000,73169,6942,6979.000000,26,7,6,2,2,7,0
168940,84470,210597,421200,98332,8100,8155.500000,26,7,6,2,2,7,0
169059,84528,179297,358600,113056,6896,6896.000000,26,6,6,2,2,7,0
149198,74596,235589,471200,92371,9061,9065.000000,26,7,6,2,2,7,0
251415,125706,210891,421800,118810,8111,8124.000000,26,7,6,2,2,7,0
109156,54576,130092,260200,57607,5003,5014.000000,26,7,6,2,2,7,0
142979,71487,119890,239800,88246,4611,4611.000000,26,8,6,2,2,7,0
262453,131225,199798,399600,200917,7684,7684.000000,26,6,6,2,2,3,999
191325,95661,216697,433400,155907,8334,8334.000000,26,8,5,2,2,8,0
111927,55963,117698,235400,87986,4526,4526.000000,26,6,6,2,2,8,0
263339,131668,215397,430800,172975,8284,8284.000000,26,7,6,2,2,8,0
228193,114095,219095,438200,88777,8426,8499.000000,26,8,6,2,2,8,0
156381,78190,156798,313600,90606,6030,6030.000000,26,7,6,2,2,8,0
208053,104025,220395,440800,164975,8476,8477.500000,26,7,6,2,2,8,0
235283,117640,242795,485600,136935,9338,9339.500000,26,8,6,2,2,8,0
114145,57070,117589,235200,50347,4523,4525.000000,26,7,6,2,2,8,0
159616,79807,143995,288000,103419,5538,5596.000000,26,7,5,2,2,8,0
212694,106346,174790,349600,179036,6723,6723.000000,26,8,6,2,2,8,0
210497,105247,176496,353000,175238,6788,6788.000000,26,7,6,2,2,8,0
302185,151092,263797,527600,134656,10146,10146.000000,26,6,6,2,2,8,0
